virus_family	virus_genus	virus_name	virus_species	virus_acronym	virus_acronym_update	new_virus	host_species	host_subfamily	host_tribu	host_genus	life_form	dataset	tissue	country	source
Amalgaviridae	Amalgavirus	Epipogium amalgavirus 1	Epipogium amalgavirus 1	 EpAV1	 EpAV1	known_virus	Epipogium roseum	Higher Epidendroideae	Epipogieae	Epipogium	Terrestial	MZ042635	not_found	Vietnam	NCBI
Kitaviridae	cilevirus	Aeridinae_associated_cilevirus	new_virus	AaCV1	AaCiV1	new_species	Papilionanthe sp	Higher Epidendroideae	Vandeae	Papilionanthe	Epiphyte	SRR18095155	leaf	Singapore	SRA
Kitaviridae	cilevirus	Aeridinae_associated_cilevirus	new_virus	AaCV1	AaCiV1	new_species	Phalaenopsis equestris	Higher Epidendroideae	Vandeae	Phalaenopsis	Epiphyte	SRR4010892	stalk	Taiwan	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Dendrobium officinale	Higher Epidendroideae	Podochileae	Dendrobium	Epiphyte	SRR13753805	flower	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR15902323	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR15902525	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR15912201	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR15912634	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16004350	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16004475	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16004935	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573578	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573639	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573692	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573718	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573719	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573725	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573726	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573773	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573792	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573868	leaf	China	SRA
Secoviridae	Fabavirus	Broad bean wilt virus 2	Fabavirus betaviciae	BBWV2	BBWV2	known_virus	Paphiopedilum concolor x Paphiopedilum hirsutissimum	Higher Epidendroideae	Cypripedium	Paphiopedilum	Terrestial	SRR16573886	leaf	China	SRA
