Submission_ID;Submission_date;Virus_Acronym;Sequence_ID;Isolate;Bioproject;Country
3004499;14/09/2025;BNYVV;BNYVV_SRR2012580_RNA2;SRR2012580;PRJNA283237;China
3004499;15/09/2025;BNYVV;BNYVV_SRR2012580_RNA3;SRR2012580;PRJNA283237;China
3004510;16/09/2025;BBWV2;BBWV2_SRR16591799_RNA1;SRR16591799;PRJNA760286;China
3004510;17/09/2025;BBWV2;BBWV2_SRR16591799_RNA2;SRR16591799;PRJNA760286;China
3004510;18/09/2025;BBWV2;BBWV2_SRR13753805_RNA2;SRR13753805;PRJNA703321;China
2996843;19/09/2025;CVX;CVX_SRR12876607;SRR12876607;PRJNA669257;China
3004516;20/09/2025;CpRLV2;CpRLV2_SRR22225475;SRR22225475;PRJNA899319;China
3004520;21/09/2025;EAPV;EAPV_SRR16573718;SRR16573718;PRJNA760286;China
3004809;22/09/2025;GFabV;GFabV_SRR15793081_RNA1;SRR15793081;PRJNA760286;China
3004809;23/09/2025;GFabV;GFabV_SRR15793081_RNA2;SRR15793081;PRJNA760286;China
3004810;24/09/2025;LMoV;LMoV_SRR13124375;SRR13124375;PRJNA680456;China
3004814;25/09/2025;PotVH;PotVH_SRR15057280_RNA1;SRR15057280;PRJNA744344;China
3004814;26/09/2025;PotVH;PotVH_SRR25654682_RNA1;SRR25654682;PRJNA1004100;China
3004816;27/09/2025;PVY;PVY_SRR10008493;SRR10008493;PRJNA561268;China
3004818;28/09/2025;SYSV;SYSV_SRR15836373;SRR15836373;PRJNA762115;China
3004819;29/09/2025;SCMV;SCMV_SRR5722160;SRR5722160;PRJNA310678;China
3004823;30/09/2025;TYLCV;TYLCV_SRR7275399;SRR7275399;PRJNA474994;China
3005200;1/10/2025;PaaAV1;PaaAV1_SRR9842179;SRR9842179;PRJNA550294;China
3005206;2/10/2025;PpgaOV1;PpgaOV1_SRR18919255_RNA3;SRR18919255;PRJNA739531;China
3005206;3/10/2025;CalanOV1;CalanOV1_DRR172088_RNA3;NA;PRJDB6652;Japan
3005210;4/10/2025;OfaBLV1;OfaBLV1_SRR10189348_RNA1;SRR10189348;PRJNA574279;Greece
3005210;5/10/2025;HfaBLV1;HfaBLV1_SRR5722142_RNA1;SRR5722142;PRJNA310678;China
3005210;6/10/2025;OmaBLV1;OmaBLV1_SRR27827613_RNA1;SRR27827613;PRJNA1071039;Poland
3005210;7/10/2025;OhaBLV1;OhaBLV1_SRR8863099_RNA1;SRR8863099;PRJNA531300;India
3006228;8/10/2025;GraBLV1;GraBLV1_SRR8175675_RNA1;SRR8175675;PRJNA504609;Italy
3005210;9/10/2025;EhaBLV1;EhaBLV1_SRR27827655_RNA1;SRR27827655;PRJNA1071039;Poland
3005210;10/10/2025;EhaBLV1;EhaBLV1_SRR27827664_RNA1;SRR27827664;PRJNA1071039;Poland
3005656;11/10/2025;VanShV1;VanShV1_SRR5722151_RNA1;SRR5722151;PRJNA310678;China
3005659;12/10/2025;CfaCVL1;CfaCVL1_SRR26456932_RNA1;SRR26456932;PRJNA1029356;China
3005663;13/10/2025;PaCVL1;PaCVL1_SRR6513343_RNA1;SRR6513343;PRJNA431671;China
3005663;14/10/2025;PaCVL1;PaCVL1_SRR1413312_RNA1;SRR1413312;PRJNA252662;uncalculated
3005663;15/10/2025;PaCVL2;PaCVL2_SRR15793056_RNA1;SRR15793056;PRJNA760286;China
3005663;16/10/2025;PaCVL2;PaCVL2_SRR1413099_RNA1;SRR1413099;PRJNA252662;uncalculated
